#{"t_start": 1785283768.7320387, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
-18.002208,60,3.32712,False,True,0.11632274397207826,87.33030435090015
-16.000589,60,6.534012,False,True,0.09057197165788143,85.82839917762105
-12.003931,60,10.533921,False,True,0.05917084696899262,84.34990698588331
-10.008987,60,13.548911,False,True,0.0164695107146328,87.70126389553997
-5.999347,60,17.582088,False,False,0.08236118338753659,77.73141479376451
-8.008854,60,20.633379,False,True,0.016409302937565855,87.72614231149585
-8.014249,60,24.634231,False,True,0.01335349833980513,81.49093995395906
-9.999439,60,27.772434,False,True,0.12059757939637322,69.95865548801191
-10.004567,60,31.718144,False,True,0.032525883367565726,84.9964164275525
-8.000276,60,34.824259,False,True,0.0725148372884123,75.26614920508825
-10.007141,60,38.833093,False,True,0.0278264074038286,86.3458048973313
-7.984608,60,42.051427,False,True,0.0005535153955336502,73.08121958044599
-10.010418,60,46.137325,False,True,0.019771520249795144,74.98044775312275
-10.000362,60,49.220131,False,True,0.08694486173148763,80.84233256736131
-6.001607,60,53.098343,False,False,0.1162847225198212,84.68255543042532
-6.006787,60,56.194693,False,False,0.03456101350660286,88.96459179631907
-5.99617,60,59.284848,False,False,0.014433368748266404,74.33601782768865
-8.003086,60,63.316557,False,True,0.060769797164622025,80.25460464626197
-8.00004,60,66.418318,False,True,0.017792906437556183,84.05310070714948
-6.006608,60,70.368182,False,False,0.033775768420443955,80.38219335283023
-8.005251,60,73.44111,False,True,0.08071596462585953,87.19061948537411
-6.00406,60,77.489161,False,False,0.029538425205928535,89.8855257175434
-6.002673,60,80.607305,False,False,0.052706631177179684,77.91422615656599
-5.996363,60,84.579158,False,False,0.04178176915799639,80.08584509120772
-6.007748,60,87.717261,False,False,0.006634103556468641,85.18686808659872
-5.997405,60,91.645856,False,False,0.05988332769375414,70.77032508893471
-5.995081,60,94.770012,False,False,0.028906864110765408,66.49939105566413
-8.005671,60,98.76933,False,True,0.018920877336222844,87.06925601445171
-6.003488,60,101.950226,False,False,0.01568138513790515,77.83943499482868
-6.012547,60,105.86046,False,False,0.0037373575456418374,86.16424540701932
-6.000353,60,108.976389,False,False,0.08099523369877594,80.42882906834002
-5.999527,60,112.010547,False,False,0.07508423846298082,77.2567219892706
-8.000068,60,115.980929,False,True,0.005827213285049374,86.86809791078203
-6.012793,60,119.153398,False,False,0.024337266402809872,87.5655909836618
-6.000122,60,123.156208,False,False,0.06821020487290755,87.4963525664426
-6.003355,60,126.290397,False,False,0.02713780196154588,88.96650739846187
