#{"t_start": 1785165277.169219, "env_id": "None"}
r,l,t
-20.733313,60,2.935202
-16.107558,60,5.71309
-10.630522,60,9.45277
-12.583002,60,12.232224
-6.102975,60,15.973286
-12.09584,60,18.691741
-12.365063,60,22.458131
-10.395801,60,25.322794
-6.044847,60,29.004376
-12.170209,60,31.883717
-6.848641,60,35.533757
-6.173828,60,38.409346
-6.348929,60,42.087216
-6.612339,60,44.867608
-8.646314,60,48.543831
-6.583353,60,51.448528
-6.451345,60,54.268001
-8.161543,60,57.959424
-6.184864,60,60.7973
-6.834728,60,64.443795
-6.123818,60,68.508311
-7.035697,60,73.062038
-6.101015,60,75.759141
-6.128471,60,79.547358
-6.239305,60,82.502191
-8.264816,60,86.264064
-6.370181,60,89.065109
-6.396786,60,92.931601
-6.708665,60,95.847289
-6.438211,60,99.531516
-6.169966,60,102.285138
-8.806081,60,105.147012
-5.935355,60,108.874662
-6.153445,60,111.833041
-6.077728,60,115.557165
-6.204119,60,118.330087
-7.408667,60,122.149302
-6.269687,60,125.091771
-5.982738,60,128.918472
-6.471142,60,131.793504
-8.093337,60,135.506982
-6.709208,60,138.40854
-5.934556,60,142.185242
-6.103937,60,145.07056
-5.742806,60,148.783223
-6.176859,60,151.584965
-5.78889,60,155.235313
-6.075353,60,158.041747
-6.444974,60,160.95767
-6.392912,60,164.643392
-7.386835,60,167.354186
-6.002563,60,171.229963
-6.33647,60,174.408582
-6.059086,60,178.050765
-6.008423,60,180.998428
-6.903333,60,184.644125
-6.452236,60,187.52421
-5.859318,60,191.342911
-7.19143,60,194.585147
-6.395585,60,198.320932
-6.364766,60,201.206819
-6.124055,60,204.908042
-7.815139,60,207.839675
-6.869476,60,210.699295
-5.393403,60,214.363517
-7.503592,60,217.328801
-6.174899,60,221.492377
-7.3609,60,227.714156
-6.0535,60,235.686225
-6.212215,60,239.857012
-6.363617,60,244.688252
-7.856345,60,248.672287
-6.692469,60,253.707305
-6.574111,60,257.149233
-8.542105,60,261.376837
-6.463778,60,264.68345
-6.207874,60,269.164324
-6.776859,60,272.568584
-7.38401,60,276.726878
-6.153932,60,280.773128
-7.233296,60,285.543753
-5.734861,60,290.047413
-7.071491,60,293.970893
-6.575032,60,300.482064
-6.006547,60,303.793832
-7.002618,60,308.505077
-6.912893,60,311.81326
-6.740731,60,316.561054
-6.819238,60,320.754841
-6.501531,60,329.54675
-7.503452,60,334.894471
-6.947674,60,341.861078
-6.522263,60,347.854668
-7.117511,60,356.717002
-7.239961,60,361.181494
-6.400022,60,365.514274
-7.788225,60,373.40371
-6.208353,60,379.412576
-6.051237,60,385.531232
-6.032125,60,389.798508
-6.111827,60,396.633522
-6.49651,60,400.876025
-6.324011,60,406.927936
-6.054124,60,411.166079
-6.185061,60,417.376605
-6.139453,60,422.336281
-6.983046,60,429.126468
-6.963421,60,433.186957
-7.806012,60,438.867495
-6.576884,60,443.946399
-6.460608,60,449.359986
-6.032724,60,453.525221
-6.351174,60,457.723468
-6.019525,60,462.738159
-6.096667,60,466.475895
-6.37089,60,471.10027
-6.148515,60,475.248699
-7.091583,60,481.091535
-6.574302,60,485.486712
-6.625765,60,490.996793
-6.199486,60,495.062567
-6.282799,60,500.23626
-6.230123,60,504.35215
-6.06452,60,509.595637
-6.177407,60,513.755074
-6.537161,60,519.089377
-6.276452,60,523.0519
-6.236099,60,527.178827
-6.557199,60,532.376865
-7.523677,60,536.38033
-7.556164,60,541.496195
-6.089834,60,545.495123
-6.310819,60,550.697395
-6.775624,60,555.715017
-6.190396,60,560.936599
-8.105919,60,565.58078
-6.490012,60,572.15978
-7.409938,60,576.471696
-6.386141,60,581.6643
-7.293698,60,585.53426
-7.095286,60,590.560442
-7.585991,60,596.403225
-6.583357,60,601.733394
-7.021088,60,605.862322
-5.809593,60,611.259745
-6.278222,60,616.826393
-7.636783,60,621.143414
-7.022654,60,626.894112
-6.724813,60,631.879103
-6.626309,60,638.689395
-6.178482,60,643.179688
-6.412111,60,648.937239
-6.620814,60,653.958832
-7.538485,60,660.673321
-6.803834,60,665.61175
-7.662454,60,672.331772
-6.733048,60,679.350253
-6.681006,60,688.072088
-6.872388,60,694.364765
-7.528207,60,701.697225
-6.643175,60,708.528962
-6.567664,60,712.200172
-6.79058,60,717.000131
-6.03792,60,720.8519
-6.191348,60,726.08378
-6.055119,60,730.428114
-7.235404,60,735.226974
-6.123152,60,739.474474
