#{"t_start": 1785165277.1702182, "env_id": "None"}
r,l,t
-10.868105,60,2.924207
-13.105946,60,5.712091
-8.240202,60,9.445908
-17.179594,60,12.228224
-10.692462,60,15.972287
-12.287717,60,18.693747
-10.377469,60,22.458127
-8.681648,60,25.320812
-6.262452,60,29.003377
-9.094682,60,31.886716
-8.439883,60,35.528337
-6.278411,60,38.402369
-10.101336,60,42.086216
-6.740351,60,44.864576
-6.325983,60,48.544094
-8.095839,60,51.45306
-6.444758,60,54.255002
-6.843037,60,57.964189
-6.756748,60,60.797297
-8.473367,60,64.437797
-7.260162,60,68.498735
-8.540791,60,73.050443
-10.676376,60,75.756142
-6.147967,60,79.537665
-6.715667,60,82.501192
-8.518238,60,86.263064
-6.685508,60,89.054114
-6.638369,60,92.917615
-8.755984,60,95.865288
-6.041516,60,99.531517
-6.80531,60,102.287138
-6.010191,60,105.138511
-6.256974,60,108.883654
-6.211201,60,111.832042
-6.055935,60,115.563162
-6.175399,60,118.327087
-5.895226,60,122.1533
-6.473472,60,125.092875
-5.674879,60,128.91048
-6.140822,60,131.792505
-6.045113,60,135.498993
-6.248076,60,138.404548
-5.925181,60,142.184243
-7.195085,60,145.06715
-5.868629,60,148.784217
-6.116557,60,151.570462
-5.480062,60,155.225783
-5.421441,60,158.033703
-7.007416,60,160.946726
-6.037423,60,164.635493
-7.389259,60,167.341197
-6.232011,60,171.23096
-5.956316,60,174.402575
-7.327991,60,178.04377
-7.250352,60,181.000708
-5.526181,60,184.644117
-6.950281,60,187.522215
-7.054587,60,191.339907
-6.321258,60,194.581167
-6.527318,60,198.320932
-7.184543,60,201.200812
-5.966441,60,204.8985
-6.29523,60,207.829681
-6.768753,60,210.687295
-7.454589,60,214.354562
-5.958411,60,217.325812
-7.195337,60,221.490369
-7.528048,60,227.722563
-6.173444,60,235.686266
-6.161485,60,239.862015
-7.318006,60,244.686189
-6.929595,60,248.666111
-5.932913,60,253.712299
-6.351284,60,257.156234
-5.88943,60,261.380169
-6.971056,60,264.68372
-7.383883,60,269.161651
-6.192572,60,272.570585
-6.732599,60,276.718854
-6.793641,60,280.74861
-6.054499,60,285.543755
-5.839697,60,290.051417
-6.09296,60,293.964898
-7.581239,60,300.481065
-6.775759,60,303.800818
-7.680861,60,308.509039
-6.858491,60,311.813013
-5.842146,60,316.561058
-7.342748,60,320.753842
-6.177194,60,329.548748
-6.570838,60,334.899015
-6.744093,60,341.851892
-7.39327,60,347.86766
-7.412427,60,356.712596
-6.251209,60,361.179488
-6.944709,60,365.507277
-5.936151,60,373.427712
-6.095591,60,379.418575
-6.023388,60,385.540426
-6.175467,60,389.797509
-5.936351,60,396.626564
-6.210446,60,400.873981
-6.814,60,406.923277
-6.965771,60,411.150569
-6.038818,60,417.382622
-6.99752,60,422.33928
-6.624244,60,429.124471
-7.425953,60,433.191507
-7.016285,60,438.874501
-6.446938,60,443.950398
-6.155742,60,449.364988
-6.410832,60,453.524222
-6.796875,60,457.723465
-6.368689,60,462.744157
-6.875806,60,466.477895
-7.240541,60,471.098274
-7.302909,60,475.239673
-6.082707,60,481.076523
-6.805198,60,485.482712
-6.292417,60,490.998789
-6.552326,60,495.063569
-6.62609,60,500.236255
-9.21635,60,504.353165
-6.646141,60,509.599638
-6.143979,60,513.757026
-6.662814,60,519.089386
-6.29419,60,523.052896
-6.996404,60,527.185236
-7.164861,60,532.376869
-6.059173,60,536.383334
-8.217116,60,541.495196
-6.335248,60,545.496122
-6.645309,60,550.696396
-5.923479,60,555.713015
-6.415922,60,560.942063
-5.893679,60,565.577782
-7.122678,60,572.157768
-7.303433,60,576.480684
-11.09349,60,581.662307
-5.449539,60,585.542937
-5.880586,60,590.558442
-6.163523,60,596.399221
-6.279302,60,601.733386
-7.962244,60,605.862322
-7.165995,60,611.254223
-6.393167,60,616.825394
-5.870577,60,621.143442
-11.225974,60,626.891116
-5.783443,60,631.8721
-6.097355,60,638.690387
-6.712045,60,643.185129
-6.44593,60,648.928788
-7.227538,60,653.954826
-5.949582,60,660.679417
-7.175725,60,665.608747
-7.322259,60,672.33178
-5.794611,60,679.339594
-6.603798,60,688.056078
-6.067011,60,694.345934
-6.174129,60,701.589411
-6.876546,60,708.526965
-6.433819,60,712.200267
-6.459748,60,717.008651
-8.02084,60,720.852219
-6.469154,60,726.08078
-6.492098,60,730.425117
-6.185764,60,735.233081
-5.928118,60,739.480669
