#{"t_start": 1785166315.9621024, "env_id": "None"}
r,l,t
-6.733313,60,4.296165
-6.107558,60,8.302763
-6.633712,60,13.605055
-6.466482,60,17.497793
-6.103463,60,22.748939
-6.077604,60,26.573149
-6.265589,60,31.755326
-6.20029,60,35.708142
-6.05676,60,42.154705
-6.13786,60,46.51903
-6.437331,60,52.178121
-5.950184,60,56.291077
-6.304463,60,61.4575
-6.815575,60,65.362012
-6.589033,60,70.43333
-6.645002,60,74.45708
-6.205995,60,78.693403
-6.072873,60,84.813784
-6.178433,60,88.702783
-6.792768,60,93.903415
-6.007717,60,97.867201
-6.78446,60,102.986689
-6.095217,60,106.724103
-6.174324,60,111.682554
-6.274763,60,115.41147
-6.325236,60,120.255764
-6.389682,60,123.986315
-6.557871,60,128.856441
-6.587846,60,132.677965
-6.460622,60,137.493342
-6.120041,60,141.174218
-6.865467,60,144.822807
-5.90446,60,149.63487
-6.179598,60,153.379663
-5.979424,60,158.308585
-6.245053,60,161.983122
-7.503343,60,166.832275
-6.405315,60,170.575871
-6.064811,60,175.374821
-6.522011,60,179.112092
-5.819617,60,183.988001
-6.730815,60,187.702131
-5.560935,60,192.568671
-6.15544,60,196.26854
-5.888026,60,201.232706
-6.172914,60,204.94486
-5.745826,60,209.844233
-6.069667,60,213.551859
-6.527683,60,217.288521
-6.389253,60,222.094198
-7.405961,60,225.812148
-6.013231,60,230.677194
-6.206181,60,234.39546
-5.591336,60,239.23235
-5.954586,60,243.149721
-7.065629,60,247.931418
-6.432234,60,251.638901
-5.897642,60,256.401711
-7.137688,60,260.18271
-6.471548,60,265.081429
-6.346519,60,268.746762
-6.042916,60,273.515154
-5.296332,60,277.225216
-6.831136,60,280.875736
-5.694854,60,285.644464
-7.67156,60,289.339286
-6.061363,60,294.226729
-7.404633,60,297.892949
-5.979044,60,302.754081
-6.615168,60,306.637834
-6.090615,60,311.397565
-5.830585,60,315.097212
-6.715761,60,319.986438
-6.57375,60,323.683279
-6.571865,60,328.367401
-6.462918,60,332.112194
-6.209275,60,336.992856
-6.974205,60,341.262067
-7.53407,60,346.19469
-6.134798,60,350.282091
-7.312458,60,353.975546
-5.824096,60,358.980833
-7.150118,60,362.630378
-6.571609,60,367.373388
-5.863315,60,371.03978
-7.259523,60,375.842028
-7.11931,60,379.495456
-6.740317,60,384.367666
-7.13979,60,387.915528
-6.439762,60,392.830178
-7.496759,60,396.465099
-6.944664,60,401.17874
-6.46857,60,404.878307
-7.142607,60,409.755914
-7.255917,60,413.372127
-6.343077,60,416.969385
-7.729374,60,421.843152
-5.987532,60,425.525064
-6.117612,60,430.372067
-5.595208,60,434.020427
-5.853752,60,438.895177
-5.819061,60,442.599741
-6.008693,60,447.347455
-5.856294,60,451.014335
-6.129366,60,455.758161
-6.062117,60,459.518329
-7.246929,60,464.192525
-6.921956,60,467.801624
-7.900828,60,472.621756
-5.929034,60,476.296782
-6.225934,60,481.072171
-5.876492,60,484.933753
-6.629272,60,488.81739
-5.88678,60,494.427664
-5.92275,60,498.861697
-6.22667,60,503.651733
-6.049519,60,507.31054
-7.667955,60,512.157341
-6.433849,60,515.898029
-6.473476,60,521.234825
-5.619759,60,525.150822
-6.072096,60,529.914667
-6.214583,60,533.592937
-5.893437,60,538.338974
-5.79266,60,541.93925
-6.508089,60,546.689994
-6.128708,60,550.342295
-5.945466,60,554.008993
-6.323163,60,558.85085
-7.482565,60,562.500372
-7.650537,60,567.300595
-5.923879,60,570.944438
-6.13074,60,575.780053
-6.521543,60,579.444582
-6.250539,60,584.209003
-6.11498,60,587.90426
-6.448555,60,592.67208
-7.518148,60,596.360742
-6.404781,60,601.152291
-7.389386,60,604.676084
-6.969231,60,609.280151
-7.274949,60,612.824727
-6.572069,60,617.470253
-7.107921,60,621.012894
-5.846167,60,624.62236
-6.721102,60,629.348541
-7.634597,60,632.871566
-7.031515,60,637.580009
-6.553082,60,641.102912
-6.933294,60,645.849574
-5.985553,60,649.486368
-6.077067,60,654.179206
-6.914585,60,657.748834
-7.541981,60,662.375457
-6.891464,60,666.005167
-7.658232,60,670.686255
-7.335596,60,674.292097
-6.777152,60,678.929899
-6.998292,60,682.495747
-7.559087,60,686.052376
-6.836235,60,690.719498
-6.528453,60,694.322818
-6.793287,60,698.989469
-6.240799,60,702.473507
-6.891383,60,707.184815
-5.612055,60,710.726012
-7.522437,60,715.395781
-5.863359,60,718.842416
