#{"t_start": 1785164451.6251628, "env_id": "None"}
r,l,t
-20.733313,60,2.954086
-16.107558,60,5.730048
-10.630522,60,10.249732
-12.583002,60,13.103855
-6.102975,60,16.817336
-10.113848,60,19.505489
-12.303699,60,23.21274
-10.391007,60,25.984241
-6.037787,60,29.645465
-12.143158,60,32.540657
-7.071914,60,36.136755
-6.132529,60,39.105665
-6.35731,60,42.780557
-6.541754,60,45.620391
-8.549832,60,49.301955
-6.596215,60,52.080017
-6.363595,60,54.923001
-6.176705,60,58.493065
-6.127634,60,61.253627
-6.892381,60,65.2156
-6.025321,60,68.144436
-6.923059,60,71.919651
-6.121146,60,74.651786
-6.180689,60,78.418388
-6.317431,60,81.271336
-8.273028,60,85.003468
-6.411884,60,87.836167
-6.385947,60,91.535319
-6.497938,60,94.809318
-6.463604,60,98.625568
-5.879458,60,101.368138
-6.840967,60,104.091908
-5.832262,60,107.738983
-5.585027,60,110.529072
-6.072296,60,114.410844
-6.393374,60,117.175226
-7.440358,60,120.862547
-6.483108,60,123.895435
-6.041653,60,128.773321
-6.320052,60,131.748131
-8.013693,60,135.433555
-6.702385,60,138.326134
-5.798605,60,142.159695
-5.955225,60,145.16338
-5.859987,60,150.012831
-6.037728,60,153.182288
-5.747543,60,156.892392
-6.066523,60,159.852262
-6.467019,60,162.638146
-6.415246,60,166.6189
-7.379376,60,169.532556
-5.910573,60,173.197146
-6.205012,60,176.081238
-5.46272,60,179.849336
-5.832254,60,183.407104
-7.062173,60,187.430245
-6.442709,60,190.623323
-5.926778,60,194.682827
-7.149845,60,197.602561
-6.434622,60,201.278733
-6.36169,60,204.567508
-6.23479,60,208.837889
-7.337896,60,212.328621
-6.85303,60,215.235987
-5.505502,60,218.94769
-7.598285,60,221.849884
-6.195986,60,225.511984
-7.350876,60,228.255802
-5.724217,60,231.825752
-6.799234,60,234.543524
-6.162358,60,238.110723
-5.915662,60,240.727878
-6.674699,60,244.371583
-6.555051,60,247.157208
-6.541209,60,250.976762
-6.45848,60,253.69097
-5.719484,60,257.3367
-7.038954,60,260.004007
-7.483265,60,263.741343
-6.246292,60,266.476131
-7.465389,60,269.20058
-5.714172,60,272.886526
-7.087891,60,275.70921
-6.479596,60,279.353417
-5.577801,60,281.962353
-7.161567,60,287.192831
-7.029929,60,293.437566
-6.711469,60,298.780811
-7.136103,60,302.171411
-6.409706,60,306.567143
-7.42068,60,309.868269
-7.047461,60,314.08839
-6.407042,60,317.45042
-7.123781,60,321.679193
-7.353908,60,325.238672
-6.39806,60,328.555411
-7.734358,60,332.838639
-6.027928,60,336.287606
-6.128812,60,340.79009
-5.720655,60,345.629197
-5.819025,60,351.32656
-5.760027,60,356.18391
-6.057646,60,363.582792
-5.963281,60,367.299088
-6.070823,60,371.800237
-6.012138,60,375.646721
-7.256137,60,380.196657
-6.838395,60,383.384177
-7.874716,60,387.985007
-6.084296,60,391.448804
-6.319561,60,396.133332
-5.821103,60,399.790581
-6.521478,60,403.948007
-5.825275,60,409.628137
-5.885639,60,414.390425
-6.162463,60,421.149362
-6.02693,60,426.354822
-7.499749,60,430.828439
-6.305867,60,433.962948
-6.567211,60,438.821649
-5.396673,60,442.392335
-6.078572,60,446.20337
-6.235691,60,449.249966
-5.897318,60,453.621224
-5.339211,60,456.684002
-6.535368,60,460.510213
-5.867145,60,463.398099
-5.941963,60,466.713153
-6.456899,60,470.681258
-7.44356,60,474.52549
-7.616611,60,479.926641
-5.608608,60,483.520803
-6.178558,60,487.317725
-6.69136,60,490.135938
-6.079452,60,493.936301
-6.13057,60,497.233538
-6.451604,60,500.93416
-7.447674,60,503.801987
-6.380382,60,507.561426
-7.525221,60,510.558667
-7.099068,60,515.067415
-7.142009,60,518.492123
-6.605318,60,523.951901
-7.080608,60,527.289465
-5.747619,60,530.528041
-6.529958,60,534.779782
-7.551648,60,537.83262
-7.028984,60,541.567293
-6.59288,60,544.483091
-6.882525,60,548.324385
-6.053765,60,551.164615
-6.381766,60,554.859744
-6.756932,60,557.923494
-7.531194,60,561.56003
-6.843094,60,564.473504
-7.578437,60,568.233219
-6.873245,60,571.0028
-6.593103,60,574.610543
-6.847468,60,577.371012
-7.521285,60,580.124802
-6.828549,60,583.795799
-6.220724,60,586.595508
-6.685611,60,590.248801
-6.05771,60,593.200803
-6.605475,60,596.898227
-6.165569,60,599.627505
-7.288749,60,603.352313
-5.93458,60,606.092229
